AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
International Economics and Finance ,Business Studies,Toronto Metropolitan University (formerly Ryerson University),Low 70s,Co-op or internship option available,English (ENG4U/EAE4U preferred) Mathematics (one of Advanced Functions [MHF4U] Calculus and Vectors [MCV4U] or Mathematics of Data Management [MDM4U]) MHF4U and MCV4U preferred
Retail Management (Honours) (Co-op Available) ,Business Studies,Toronto Metropolitan University (formerly Ryerson University),Low 70s,Co-op available by application after first year of studies,English/Anglais (ENG4U/EAE4U preferred) Mathematics (one of Calculus and Vectors [MCV4U] Advanced Functions [MHF4U] or Mathematics of Data Management [MDM4U]) MCV4U is the preferred mathematics course
Sport Media ,Business Studies,Toronto Metropolitan University (formerly Ryerson University),High 80s,Practicum or internship option available,English/Anglais (ENG4U/EAE4U required)
Ancient Greek and Roman Studies and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Business Administration  -  Accounting ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Accounting  -  Co-op ,Business Studies,Trent University,90 to 95%,Co-op program,1 English 1 4U Math
Business Administration  -  Co-op ,Business Studies,Trent University,90-95%,Co-op program,1 English 1 4U Math
Business Administration  -  Economics ,Business Studies,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Entrepreneurship ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Ethics & Sustainability ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Finance ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Human Resources Management ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Information Systems & E-Commerce ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Legal Studies Option ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Marketing & Consumer Culture ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration  -  Niigaaniiwin  -  The Art of Leading ,Business Studies,Trent University,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration (Honours) ,Business Studies,Trent University,70% minimum,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business and Arts ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended This program is available only as a joint-major at the Honours level.
Business and Science ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended This program is available only as a joint major at the Honours level.
Canadian Studies and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Computing Systems and Business ,Business Studies,Trent University,Minimum 70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Cultural Studies and Business ,Business Studies,Trent University,Minimum 70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Economics and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
English and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Environmental Resource Science and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% SBI4U SCH4U and 4U Math recommended
Environmental Resource Studies and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Financial Science ,Business Studies,Trent University,75% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% 1 of MHF4U or MCV4U is required
Financial Science (Honours Science) - Co-op ,Business Studies,Trent University,80%,Co-op program,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% 1 of MHF4U or MCV4U is required
Forensics and Arts ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% This program is only available as a joint major at the Honours level.
Forensics and Business ,Business Studies,Trent University,Minimum 70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
French and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Gender & Social Justice and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Geography and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
History and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Honours Science ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Indigenous Studies and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Information Systems and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
International Development and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Law (LL.B.) Business Administration (BBA): Trent/Swansea Dual Degree ,Business Studies,Trent University,80% minimum,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U Math
Mathematics and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Media Studies and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Philosophy and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Psychology and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Psychology (Science) and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Sociology and Business ,Business Studies,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Anthropology & Business Administration ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Arts and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,N/A,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U MCV4U or MCB4U recommended This program is only available as a joint-major at the Honours level.
Bachelor of Business Administration ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Bachelor of Business Administration  -  Accounting ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Bachelor of Business Administration  -  Communications ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Bachelor of Business Administration  -  Human Resources Management ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Bachelor of Business Administration  -  Information Systems & E-Commerce ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Bachelor of Business Administration  -  Legal Studies Option ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Bachelor of Business Administration  -  Marketing & Consumer Culture ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration (BBA)  -  Entrepreneurship ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business Administration (BBA) - Finance ,Business Studies,Trent University  -  Durham Greater Toronto Area,70-75%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Business and Computing & Information Systems ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Communications - Business Communications ,Business Studies,Trent University  -  Durham Greater Toronto Area,Minimum 70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Communications - Media Relations ,Business Studies,Trent University  -  Durham Greater Toronto Area,Minimum 70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
English Literature and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Honours Arts ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Information Systems & Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Law (LL.B.) Business Administration (B.B.A.): Trent/Swansea Dual Degree ,Business Studies,Trent University  -  Durham Greater Toronto Area,80% minimum,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Logistics & Supply Chain Management ,Business Studies,Trent University  -  Durham Greater Toronto Area,75% minimum,Practicum or internship option available,Minimum 75% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U Math
Media Studies and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Psychology and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Psychology (Science) and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Science and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,N/A,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U recommended
Sociology and Business ,Business Studies,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Accounting and Financial Management (Co-op Only) ,Business Studies,University of Waterloo,Mid-80s,Co-op program,A minimum final grade of at least 75% is required for: MHF4U MCV4U Any 4U English Plus: 3 additional 4U/M courses Strongly recommended: BAT4M MDM4U School of Accounting and Finance Admissions Assessment (SAFAA) online interview (part 1) and trait assessment (part 2) are required.
Biotechnology/Chartered Professional Accountancy (Co-op Only) ,Business Studies,University of Waterloo,High 80s,Co-op program,A final grade of at least 70% is required for: MHF4U MCV4U ENG4U Plus: Any 2 of SBI4U SCH4U SES4U MDM4U or SPH4U 1 additional 4U/M course Recommended: SBI4U SCH4U BAT4M
Business Administration (Laurier) and Computer Science (Waterloo) Double Degree (Co-op Only) ,Business Studies,University of Waterloo,Mid-90s,Co-op program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Business Administration (Laurier) and Mathematics (Waterloo) Double Degree (Co-op Only) ,Business Studies,University of Waterloo,Low 90s,Co-op program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Computing and Financial Management (Co-op Only) ,Business Studies,University of Waterloo,Low to Mid-90s,Co-op program,Required courses: MHF4U MCV4U Any 4U English (a final grade of at least 75% is required) Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U BAT4M
Environment and Business (Co-op Only) ,Business Studies,University of Waterloo,Low 80s,Co-op program,Any Grade 12 U English (minimum final grade of 70% is required) 5 additional 4U/M courses Recommended: 4U Mathematics 4U Science BAT4M CIA4U (where offered)
Global Business and Digital Arts (Co-op only) ,Business Studies,University of Waterloo,Low 80s,Co-op program,Any 4U English (a final grade of at least 75% is required) 5 additional 4U/M courses Recommended: MDM4U
Honours Arts and Business (Regular/Co-op) ,Business Studies,University of Waterloo,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Honours Arts (Regular/Co-op) ,Business Studies,University of Waterloo,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Management Engineering (Co-op Only) ,Business Studies,University of Waterloo,Mid- to high-80s,Co-op program,A final grade of at least 70% is required for: MHF4U MCV4U SCH4U ENG4U SPH4U Plus: 1 additional 4U/M course An online video interview is strongly recommended.
Mathematics/Business Administration (Regular/Co-op) ,Business Studies,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Mathematics/CPA (Co-op Only) ,Business Studies,University of Waterloo,High 80s,Co-op program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U BAT4M
Mathematics/Financial Analysis and Risk Management (Regular/Co-op) ,Business Studies,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Mathematics (Regular/Co-op) ,Business Studies,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Recreation & Leisure Studies Recreation & Sport Business Therapeutic Recreation (Regular/Co-op) ,Business Studies,University of Waterloo,Low 80s,Co-op option available with this program,Any 4U English (A final grade of at least 70% is required) 5 additional 4U/M courses
Sustainability and Financial Management (Co-op only) ,Business Studies,University of Waterloo,Mid-80s,Co-op program,A minimum final grade of at least 75% is required for: MHF4U MCV4U Any Grade 12U English Plus: 3 additional Grade 12U/M courses Strongly recommended: BAT4M MDM4U A School of Accounting and Finance Admissions Assessment (SAFAA) online interview (part 1) and trait assessment (part 2) are required as part of the application process to Sustainability and Financial Management. Details are available on our website: https://uwaterloo.ca/aspiring-professionals/admission-requirements/safaa
Arts Honours (BA): St. Jerome’s University ,Business Studies,University of Waterloo  -  St. Jerome's University,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Honours Arts and Business (Regular/Co-op) ,Business Studies,University of Waterloo  -  St. Jerome's University,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Management and Organizational Studies ,Business Studies,Western University,Mid-80s,Co-op or internship application available at the university after registration,English ENG4U And two of: Advanced Functions MHF4U Calculus and Vectors MCV4U Math of Data Management MDM4U MCV4U and/or a university Calculus course is required prior to taking mandatory upper-year Economics courses in Finance for MOS and for pursuing a Major or Honors Specialization in Economics.
Management and Organizational Studies (Commercial Aviation Management)  -  Flight and Non-flight (Main Campus Only) ,Business Studies,Western University,Mid-80s,Co-op or internship option available,English ENG4U And two of: Advanced Functions MHF4U Calculus and Vectors MCV4U Math of Data Management MDM4U SPH4U recommended
Music Administrative Studies ,Business Studies,Western University,Mid 80s,Co-op or internship application available at the university after registration,ENG4U 1 of MHF4U MCV4U or MDM4U The Faculty's recommendation based on an interview Evidence of a strong musical background and experience (equivalent to at least a Grade 8 Conservatory level demonstrated by Conservatory certificates or an audition)
Social Science ,Business Studies,Western University,Low to mid 80s,Co-op or internship application available at the university after registration,English ENG4U Notes: All Honours Specializations and Majors in Psychology require a first-year university Math course; therefore any Grade 12 U-level Math is highly recommended for this program. Math is helpful in preparation for Sociology and Geography programs. MFH4U and MCV4U are required for all Economics modules. SBI4U SCH4U and SPH4U are highly recommended for the BSc in Psychology. Psychology and Geography are offered as both a BA and a BSc. For the BSc option refer to the Academic Calendar for required high school science courses.
Management and Organizational Studies ,Business Studies,Western University  -  Huron University College,Mid to high 80s,Practicum or internship option available,ENG4U 2 of the following: MDM4U MHF4U or MCV4U MCV4U is highly recommended
Finance and Wealth Management ,Business Studies,Western University  -  King's University College,78-80%,Co-op option available with this program,ENG4U MCV4U (minimum grade of 60%)
Management and Organizational Studies ,Business Studies,Western University  -  King's University College,78-80%,Practicum or internship option available,ENG4U Two of MHF4U MCV4U or MDM4U MCV4U is strongly recommended and will be required for certain modules in the program
Social Sciences ,Business Studies,Western University  -  King's University College,78 - 80%,Class-based experiential education,ENG4U MHF4U and/or MCV4U are required for certain degree programs If you would like to major or specialize in Economics or Finance you must have MCV4U to be able to complete the first-year Math requirements. All specializations and majors in Psychology require a first-year university statistics course. MDM4U is a prerequisite for enrollment in the first-year statistics course; therefore students are strongly recommended to complete it prior to starting their first year. MDM4U is also helpful in preparation for the sociology program and Social Work.
Arts Degree (BA) + Business Administration (MBA) with Co-op ,Business Studies,Wilfrid Laurier University,Low-90s,Co-op program,English at 70% You will need to maintain a minimum GPA of 10.0+ upon graduation from your undergraduate degree and earn a minimum A- in BU 205 (Introduction to Applied Statistics) in order to keep your offer to the MBA program active.
Business Administration (BBA) ,Business Studies,Wilfrid Laurier University,High 80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Business Administration (BBA) + Computer Science (BCS) University of Waterloo ,Business Studies,Wilfrid Laurier University,Mid-90s,Co-op program,English at 80% Advanced Functions at 90% Calculus and Vectors at 90% Prerequisite courses are calculated in the admission average.
Business Administration (BBA) + Computer Science (BSc) ,Business Studies,Wilfrid Laurier University,Low 90s,Co-op option available with this program,English at 70% Advanced Functions at 75% Calculus & Vectors at 75% Prerequisite courses are calculated in the admission average.
Business Administration (BBA) + Financial Mathematics (BA) ,Business Studies,Wilfrid Laurier University,Low 90s,Co-op option available with this program,English at 70% Advanced Functions at 80% Calculus and Vectors at 80% Prerequisite courses are calculated in the admission average.
Business Administration (BBA) + Mathematics (BMath) University of Waterloo ,Business Studies,Wilfrid Laurier University,Low 90s,Co-op option available with this program,English at 80% Advanced Functions at 85% Calculus and Vectors at 85% Prerequisite courses are included in the admission average.
Economics and Accounting (BA) ,Business Studies,Wilfrid Laurier University,Mid 80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Economics and Financial Management (BA) ,Business Studies,Wilfrid Laurier University,Mid 80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Financial Mathematics (BA) ,Business Studies,Wilfrid Laurier University,Mid 70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 75% Calculus and Vectors at 75% Prerequisite courses are calculated in the admission average.
Financial Mathematics (BSc) ,Business Studies,Wilfrid Laurier University,Mid 70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 75% Calculus and Vectors at 75% One of Biology Chemistry or Physics at 60% Prerequisite courses are calculated in the admission average.
Business Technology Management (BBTM) ,Business Studies,Wilfrid Laurier University  -  Brantford Campus,High 70s,Co-op option available with this program,English at 70% One of Advanced Functions or Calculus and Vectors at 70%
Business Administration ,Business Studies,University of Windsor,73 to 85%,Co-op option available with this program,Business Options: Business Administration ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) is normally required Business Administration (Co-op) ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) is normally required Business Administration and Psychology Business Administration and Psychology (with Specialization in Human Resources Management and Industrial-Organizational Psychology) ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) normally required Business and Economics ENG4U and MHF4U; MCV4U is strongly recommended A minimum of 70% in at least one 4U Math course (or equivalent) normally required Business and Computer Science Business and Computer Science (Co-op) ENG4U and MHF4U; MCV4U is strongly recommended A minimum grade of 70% in at least one 4U Math course (or equivalent) normally required Business Administration and Mathematics Business Administration and Mathematics (with Specialization in Finance) Business Administration and Mathematics (with Specialization in Supply Chain and Business Analytics) ENG4U and MHF4U and MCV4U A minimum of 70% is required in the 4U Math courses Business Administration and Political Science Business Administration and Political Science (with Specialization in Human Resources) ENG4U and one 4U Mathematics course A minimum grade of 70% in at least one 4U Math course (or equivalent) is also normally required
Human Kinetics (Kinesiology - Movement Science or Sport Management and Leadership) ,Business Studies,University of Windsor,70% to 85%,Co-op or internship application available at the university after registration,Honours Kinesiology - Movement Science ENG4U One of SBI4U SCH4U or SPH4U Honours Sport Management and Leadership ENG4U One 4U Math
Actuarial Science (BA) ,Business Studies,York University,Low 80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U 4 additional 4U/M courses (MCV4U recommended)
Business Administration (BBA) ,Business Studies,York University,High 80s to low 90s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U (minimum grade of 70% required; Francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U (minimum grade of 70% required) MCV4U or MDM4U (MCV4U recommended) 3 additional 4U/M courses (no more than two 4M courses)
Business & Society (BA) ,Business Studies,York University,Mid-70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses
Commerce (BCom) ,Business Studies,York University,Low 80s,Co-op or internship option available,Ontario Secondary School Diploma ENG4U MHF4U Four additional 4U or 4M courses
Concurrent Education: Liberal Arts & Professional Studies (BEd) ,Business Studies,York University,High 70s to mid-80s,Class-based experiential education,In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 15 2024. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI.
Data Science (BA) ,Business Studies,York University,High 70s to mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U (minimum grade of 75% required) MCV4U 3 additional 4U or M courses
Data Science (BSc) ,Business Studies,York University,High 70s to mid-80s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U (minimum grade of 75% required) MCV4U SBI4U or SCH4U or SPH4U 2 additional 4U or 4M courses
Disaster & Emergency Management (BDEM) ,Business Studies,York University,Mid-70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U or MDM4U Four additional 4U or 4M courses
Financial & Business Economics (BA) ,Business Studies,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U 4 additional 4U/M courses (MCV4U recommended)
Financial Technologies (BSc) ,Business Studies,York University,High 80s to low 90s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U SBI4U or SCH4U or SPH4U MCV4U (recommended)
Health Studies (BHS) ,Business Studies,York University,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses 4U math recommended
Human Resources Management (BHRM) ,Business Studies,York University,Mid- to high 70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Any 4U Math 4 additional 4U or 4M courses
Sport Management (BSM) ,Business Studies,York University,Mid to high 80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U or MDM4U
Work & Labour Studies (BA) ,Business Studies,York University,Mid-70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Business Economics (Courses in English or French as per student's preference) ,Business Studies,York University  -  Glendon Campus,Mid- to high 70s,Practicum or internship option available,OSSD or equivalent A minimum of six 4U/M courses including ENG4U (French-language high school applicants can present FRA4U) A combination of U/M courses are accepted 4U French recommended for Anglophones MHF4U and MCV4U recommended
Communications (Courses in English or French as per student's preference) ,Business Studies,York University  -  Glendon Campus,Mid- to high 70's,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses 4U French recommended
International BA (iBA Bilingual) ,Business Studies,York University  -  Glendon Campus,Mid- to high 70s,Practicum or internship option available,Find admission requirements.
